timestamp,src_ip,dst_ip,protocol,length
2025-10-24 17:29:39.880780,192.168.29.181,192.168.29.1,17,87
2025-10-24 17:29:39.885713,192.168.29.181,192.168.29.1,17,87
2025-10-24 17:29:39.887600,192.168.29.181,192.168.29.1,17,69
2025-10-24 17:29:39.889592,192.168.29.181,192.168.29.1,17,69
2025-10-24 17:29:39.894042,192.168.29.181,192.168.29.1,17,69
2025-10-24 17:29:39.894042,192.168.29.181,192.168.29.1,17,84
2025-10-24 17:29:39.894042,192.168.29.181,192.168.29.1,17,84
2025-10-24 17:29:39.894042,192.168.29.181,192.168.29.1,17,84
2025-10-24 17:29:39.902127,20.190.146.32,192.168.29.181,6,105
2025-10-24 17:29:39.904136,192.168.29.181,20.190.146.32,6,346
2025-10-24 17:29:39.904136,192.168.29.181,20.190.146.32,6,1494
2025-10-24 17:29:39.904136,192.168.29.181,20.190.146.32,6,1494
2025-10-24 17:29:39.910679,192.168.29.181,20.190.146.32,6,1494
2025-10-24 17:29:39.912565,192.168.29.181,20.190.146.32,6,1494
2025-10-24 17:29:39.914573,192.168.29.181,20.190.146.32,6,1172
2025-10-24 17:29:39.916601,192.168.29.1,192.168.29.181,17,281
2025-10-24 17:29:39.916601,192.168.29.181,192.168.29.1,17,72
2025-10-24 17:29:39.916601,192.168.29.181,192.168.29.1,17,72
2025-10-24 17:29:39.916601,192.168.29.181,192.168.29.1,17,72
2025-10-24 17:29:39.925883,192.168.29.1,192.168.29.181,17,217
2025-10-24 17:29:39.925883,192.168.29.1,192.168.29.181,17,278
2025-10-24 17:29:39.930733,192.168.29.181,104.208.16.95,6,66
2025-10-24 17:29:39.934586,192.168.29.1,192.168.29.181,17,321
2025-10-24 17:29:39.936592,192.168.29.1,192.168.29.181,17,297
2025-10-24 17:29:39.943637,192.168.29.1,192.168.29.181,17,308
2025-10-24 17:29:39.943637,192.168.29.1,192.168.29.181,17,165
2025-10-24 17:29:39.943637,192.168.29.1,192.168.29.181,17,165
2025-10-24 17:29:39.951646,192.168.29.1,192.168.29.181,17,148
2025-10-24 17:29:39.957643,192.168.29.1,192.168.29.181,17,278
2025-10-24 17:29:39.961657,192.168.29.181,18.164.237.3,6,66
2025-10-24 17:29:39.963663,20.190.146.32,192.168.29.181,6,54
2025-10-24 17:29:39.965668,20.190.146.32,192.168.29.181,6,54
2025-10-24 17:29:39.965668,18.164.237.3,192.168.29.181,6,66
2025-10-24 17:29:39.965668,192.168.29.181,18.164.237.3,6,54
2025-10-24 17:29:39.965668,192.168.29.181,18.164.237.3,6,1494
2025-10-24 17:29:39.973773,192.168.29.181,18.164.237.3,6,597
2025-10-24 17:29:39.977566,192.168.29.1,192.168.29.181,17,237
2025-10-24 17:29:39.979573,18.164.237.3,192.168.29.181,6,54
2025-10-24 17:29:39.981637,18.164.237.3,192.168.29.181,6,54
2025-10-24 17:29:39.983643,18.164.237.3,192.168.29.181,6,1376
2025-10-24 17:29:39.983643,192.168.29.181,18.164.237.3,6,118
2025-10-24 17:29:39.983643,192.168.29.181,18.164.237.3,6,146
2025-10-24 17:29:39.990572,192.168.29.181,18.164.237.3,6,849
2025-10-24 17:29:39.990572,192.168.29.1,192.168.29.181,17,224
2025-10-24 17:29:39.995062,192.168.29.181,131.253.33.203,6,66
2025-10-24 17:29:39.998077,18.164.237.3,192.168.29.181,6,54
2025-10-24 17:29:40.002184,18.164.237.3,192.168.29.181,6,233
2025-10-24 17:29:40.002184,18.164.237.3,192.168.29.181,6,125
2025-10-24 17:29:40.002184,192.168.29.181,18.164.237.3,6,54
2025-10-24 17:29:40.006171,192.168.29.181,18.164.237.3,6,85
2025-10-24 17:29:40.043780,18.164.237.3,192.168.29.181,6,54
2025-10-24 17:29:40.060046,131.253.33.203,192.168.29.181,6,66
2025-10-24 17:29:40.063503,192.168.29.181,131.253.33.203,6,54
2025-10-24 17:29:40.065743,192.168.29.181,131.253.33.203,6,1494
2025-10-24 17:29:40.068725,192.168.29.181,131.253.33.203,6,851
2025-10-24 17:29:40.080876,192.168.29.181,192.168.29.1,17,74
2025-10-24 17:29:40.080876,192.168.29.181,192.168.29.1,17,74
2025-10-24 17:29:40.085310,192.168.29.181,192.168.29.1,17,74
2025-10-24 17:29:40.093641,192.168.29.1,192.168.29.181,17,354
2025-10-24 17:29:40.105542,192.168.29.1,192.168.29.181,17,246
2025-10-24 17:29:40.110297,192.168.29.1,192.168.29.181,17,275
2025-10-24 17:29:40.129703,18.164.237.3,192.168.29.181,6,502
2025-10-24 17:29:40.133650,192.168.29.181,192.168.29.1,17,70
2025-10-24 17:29:40.133650,192.168.29.181,192.168.29.1,17,70
2025-10-24 17:29:40.140454,192.168.29.181,192.168.29.1,17,70
2025-10-24 17:29:40.142459,192.168.29.181,104.208.16.92,6,166
2025-10-24 17:29:40.144463,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:40.144463,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:40.144463,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:40.160521,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:40.165096,192.168.29.181,104.208.16.92,6,1494
2025-10-24 17:29:40.165096,192.168.29.181,104.208.16.92,6,1304
2025-10-24 17:29:40.170233,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.170233,131.253.33.203,192.168.29.181,6,153
2025-10-24 17:29:40.170233,192.168.29.181,104.208.16.95,6,66
2025-10-24 17:29:40.170233,192.168.29.181,131.253.33.203,6,1137
2025-10-24 17:29:40.180857,192.168.29.1,192.168.29.181,17,186
2025-10-24 17:29:40.180857,192.168.29.1,192.168.29.181,17,162
2025-10-24 17:29:40.188603,192.168.29.1,192.168.29.181,17,173
2025-10-24 17:29:40.188603,104.208.16.95,192.168.29.181,6,66
2025-10-24 17:29:40.191914,192.168.29.181,104.208.16.95,6,54
2025-10-24 17:29:40.193922,192.168.29.181,104.208.16.95,6,1494
2025-10-24 17:29:40.196939,192.168.29.181,104.208.16.95,6,415
2025-10-24 17:29:40.196939,192.168.29.181,18.164.237.3,6,54
2025-10-24 17:29:40.201234,192.168.29.181,104.208.16.95,6,66
2025-10-24 17:29:40.205063,192.168.29.181,104.208.16.95,6,66
2025-10-24 17:29:40.205063,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.209821,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.211848,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.215478,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.218530,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.221375,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.221375,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.221375,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.221375,192.168.29.181,20.190.146.32,6,54
2025-10-24 17:29:40.229077,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.229077,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.229077,20.190.146.32,192.168.29.181,6,1514
2025-10-24 17:29:40.229077,20.190.146.32,192.168.29.181,6,687
2025-10-24 17:29:40.235094,192.168.29.181,20.190.146.32,6,54
2025-10-24 17:29:40.235094,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.243781,131.253.33.203,192.168.29.181,6,345
2025-10-24 17:29:40.244786,192.168.29.181,131.253.33.203,6,128
2025-10-24 17:29:40.246790,192.168.29.181,131.253.33.203,6,146
2025-10-24 17:29:40.248802,192.168.29.181,131.253.33.203,6,500
2025-10-24 17:29:40.328031,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.332197,131.253.33.203,192.168.29.181,6,54
2025-10-24 17:29:40.334929,131.253.33.203,192.168.29.181,6,116
2025-10-24 17:29:40.337386,192.168.29.181,131.253.33.203,6,85
2025-10-24 17:29:40.406203,104.208.16.92,192.168.29.181,6,54
